dong,count,median_price_per_pyeong,median_price
개포동,9543,5073.716610549944,73000.0
압구정동,3295,4502.968529826209,150000.0
반포동,8093,4273.179153051017,119000.0
대치동,7569,3972.4869383490072,107500.0
잠실동,10656,3869.8413916540458,97000.0
도곡동,6630,3588.871737218278,98000.0
신천동,6273,3402.4026643747316,83000.0
삼성동,4299,3307.3564030131834,88000.0
잠원동,8041,3231.1861365568043,82500.0
역삼동,5825,3197.2052693013175,67000.0
고덕동,3418,3194.0096618357493,50650.0
일원동,2696,3148.1471819165763,77000.0
청담동,3152,3142.5745176259516,95000.0
이촌동,4756,3063.9929859719437,81500.0
수서동,2918,2975.22,48050.0
상일동,3087,2902.9426523297493,48500.0
방이동,3836,2782.2139899151734,78500.0
우면동,1452,2774.630639865004,69500.0
서초동,11061,2725.6301531213194,81500.0
여의도동,3504,2638.002023194014,88000.0
