메뉴명,카테고리,설명
된장찌개,한식,구수하고 깊은 맛의 된장으로 끓인 찌개. 두부와 애호박이 들어가 부드럽고 따뜻한 국물이 일품입니다.
김치찌개,한식,잘 익은 묵은지로 끓인 얼큰한 찌개. 돼지고기와 함께 칼칼하고 깊은 맛이 납니다.
비빔밥,한식,신선한 나물과 고추장을 넣어 비벼먹는 건강식. 색색의 채소와 고소한 참기름 향이 좋습니다.
갈비탕,한식,소갈비를 오래 끓인 진한 국물 요리. 깔끔하고 고소한 사골 국물이 몸을 따뜻하게 해줍니다.
삼겹살,한식,두툼한 돼지 삼겹살을 직화로 구운 요리. 고소하고 바삭한 껍데기와 부드러운 살코기가 일품입니다.
마르게리타피자,이탈리안,"토마토소스와 모짜렐라 치즈, 바질을 올린 정통 이탈리안 피자. 담백하고 고소한 맛이 특징입니다."
페퍼로니피자,이탈리안,매콤한 페퍼로니와 풍부한 치즈가 가득한 피자. 바삭한 도우와 진한 토마토소스가 어우러집니다.
까르보나라,이탈리안,크림과 베이컨으로 만든 진한 파스타. 부드럽고 고소한 크림 소스가 면에 잘 배어있습니다.
토마토파스타,이탈리안,신선한 토마토와 올리브오일로 만든 가벼운 파스타. 상큼하고 깔끔한 맛이 납니다.
스테이크,양식,두툼하게 썬 소고기를 구운 요리. 겉은 바삭하고 속은 촉촉하며 육즙이 풍부합니다.
함박스테이크,양식,다진 소고기로 만든 부드러운 스테이크. 데미글라스 소스와 함께 달콤하고 짭조름한 맛입니다.
초밥,일식,신선한 생선과 새우를 올린 일본식 밥요리. 촉촉한 밥과 고소한 와사비가 잘 어울립니다.
라멘,일식,진한 돈코츠 육수에 쫄깃한 면과 차슈가 들어간 일본식 라면. 깊고 진한 국물이 특징입니다.
돈카츠,일식,두툼한 돼지고기에 빵가루를 입혀 튀긴 요리. 바삭한 식감과 부드러운 고기가 조화롭습니다.
짬뽕,중식,해산물과 채소를 넣어 얼큰하게 끓인 중국식 국수. 칼칼하고 시원한 국물이 매력적입니다.
짜장면,중식,춘장으로 만든 달콤하고 짭조름한 소스의 중국식 면 요리. 양파와 돼지고기가 들어가 풍미가 깊습니다.
마파두부,중식,매콤한 두반장과 부드러운 두부로 만든 중국식 요리. 얼얼하고 칼칼한 사천식 맛이 특징입니다.
쌀국수,동남아,쫄깃한 쌀면에 맑은 소고기 육수를 부은 베트남 국수. 숙주와 고수를 넣어 상큼하고 가볍습니다.
팟타이,동남아,"쌀국수면에 새우와 땅콩, 달걀을 넣어 볶은 태국 요리. 달콤하고 고소하며 새콤한 맛이 납니다."
떡볶이,분식,쫄깃한 떡과 어묵을 고추장 소스에 볶은 한국 대표 간식. 매콤달콤한 맛이 중독적입니다.
